Transecto	Zona	Zona2	Muestra	A450nm	A653nm	A0.24x653nm	A450-0.24x653	Area_petalo	Abs_corrected_area
1	H	H1	115	0.0332	0.0166	0.003984	0.0166	6.54	0.002538226
1	H	H1	116	0.0187	0.0049	0.001176	0.0138	6.55	0.00210687
1	H	H1	117	0.0346	0.0088	0.002112	0.0258	6.66	0.003873874
1	H	H1	118	0.017	0.0036	0.000864	0.0134	6.8	0.001970588
1	H	H1	119	0.0775	0.0248	0.005952	0.0527	5.9	0.008932203
1	H	H1	120	0.362	0.0172	0.004128	0.3448	6.18	0.05579288
1	H	H1	121	0.0873	0.0461	0.011064	0.0412	NA	NA
1	H	H1	122	0.0605	0.0149	0.003576	0.0456	5.1	0.008941176
1	H	H1	123	0.0342	0.0072	0.001728	0.027	6.2	0.004354839
1	H	H1	125	0.0205	0.0145	0.00348	0.006	6.64	0.000903614
1	H	H1	126	0.0543	0.0198	0.004752	0.0345	5.27	0.00654649
1	H	H1	127	0.1011	0.0593	0.014232	0.0418	6.41	0.006521061
1	H	H1	128	0.1559	0.0802	0.019248	0.0757	5.99	0.01263773
1	H	H1	129	0.1084	0.0554	0.013296	0.053	5.43	0.009760589
1	H	H1	130	0.1614	0.0092	0.002208	0.1522	5.79	0.026286701
1	H	H1	132	0.1067	0.0797	0.019128	0.027	6.03	0.004477612
1	H	H1	134	0.1767	0.0467	0.011208	0.13	5.85	0.022222222
1	H	H1	136	0.0049	0.0025	0.0006	0.0024	6.05	0.000396694
1	H	H1	137	0.1034	0.0829	0.019896	0.0205	7.12	0.002879213
1	H	H1	138	0.1716	0.1293	0.031032	0.0423	6.68	0.006332335
1	H	H1	140	0.1352	0.1042	0.025008	0.031	6.04	0.00513245
1	H	H1	143	0.1071	0.0721	0.017304	0.035	5.25	0.006666667
1	H	H1	144	0.0461	0.0224	0.005376	0.0237	5.22	0.00454023
1	H	H1	145	0.0923	0.0722	0.017328	0.0201	5.34	0.003764045
